ID,Start,End,Description,Type,MESH ID
8808605,376,427,glucose-6-phosphate dehydrogenase (G6PD) deficiency,SpecificDisease,MESH:D005955
8808605,572,611,chronic nonspherocytic hemolytic anemia,SpecificDisease,MESH:D000746
8808605,677,692,G6PD deficiency,SpecificDisease,MESH:D005955
8808605,1368,1383,G6PD deficiency,SpecificDisease,MESH:D005955
9012409,112,149,Duarte enzyme variant of galactosemia,SpecificDisease,MESH:D005693
9012409,1723,1749,LA variant of galactosemia,SpecificDisease,MESH:D005693
8755645,104,120,fish-eye disease,SpecificDisease,MESH:D007863
8755645,453,469,fish-eye disease,SpecificDisease,MESH:D007863
8755645,471,474,FED,SpecificDisease,MESH:D007863
8755645,1168,1171,FED,SpecificDisease,MESH:D007863
8751855,25,49,hereditary breast cancer,SpecificDisease,MESH:D061325
8751855,107,120,breast cancer,SpecificDisease,MESH:D001943
8751855,259,283,hereditary breast cancer,SpecificDisease,MESH:D061325
8751855,401,425,hereditary breast cancer,SpecificDisease,MESH:D061325
8751855,484,509,hereditary breast cancers,SpecificDisease,MESH:D061325
8751855,1410,1434,hereditary breast cancer,SpecificDisease,MESH:D061325
8751855,1568,1592,hereditary breast cancer,SpecificDisease,MESH:D061325
9223312,116,141,alveolar rhabdomyosarcoma,SpecificDisease,MESH:D018232
9223312,356,381,alveolar rhabdomyosarcoma,SpecificDisease,MESH:D018232
9223312,1026,1051,alveolar rhabdomyosarcoma,SpecificDisease,MESH:D018232
8917548,105,126,ataxia-telangiectasia,SpecificDisease,MESH:D001260
8917548,351,359,thymomas,SpecificDisease,MESH:D013945
8825599,21,65,glucose-6-phosphate dehydrogenase deficiency,SpecificDisease,MESH:D005955
8825599,110,125,G6PD deficiency,SpecificDisease,MESH:D005955
9072974,530,551,primary glioblastomas,SpecificDisease,MESH:D005909
8898652,46,64,colorectal cancers,SpecificDisease,MESH:D015179
8898652,164,182,colorectal cancers,SpecificDisease,MESH:D015179
8898652,382,400,pancreatic cancers,SpecificDisease,MESH:D010190
8898652,479,497,colorectal cancers,SpecificDisease,MESH:D015179
8898652,1019,1037,colorectal cancers,SpecificDisease,MESH:D015179
8898652,1098,1116,colorectal cancers,SpecificDisease,MESH:D015179
8621452,0,38,Type II human complement C2 deficiency,SpecificDisease,OMIM:217000
8621452,143,183,Type II complement protein C2 deficiency,SpecificDisease,OMIM:217000
8621452,376,396,Type I C2 deficiency,SpecificDisease,OMIM:217000
8621452,434,452,Type II deficiency,SpecificDisease,OMIM:217000
8621452,656,677,Type II C2 deficiency,SpecificDisease,OMIM:217000
8843194,56,96,chromosomal fragmentation during meiosis,SpecificDisease,MESH:D048629
8843194,118,133,thymic lymphoma,SpecificDisease,MESH:D013953
