ID,Start,End,Description,Type,MESH ID
10192393,15,26,skin tumour,DiseaseClass,MESH:D012878
10192393,443,449,cancer,DiseaseClass,MESH:D009369
10192393,483,496,colon cancers,DiseaseClass,MESH:D003110
10192393,539,565,adenomatous polyposis coli,SpecificDisease,MESH:D011125
10192393,567,570,APC,SpecificDisease,MESH:D011125
10192393,670,698,colon and some other cancers,CompositeMention,MESH:D003110|MESH:D009369
10192393,855,867,skin tumours,DiseaseClass,MESH:D012878
10192393,879,893,pilomatricomas,SpecificDisease,MESH:D018296
10192393,1021,1035,pilomatricomas,SpecificDisease,MESH:D018296
10192393,1210,1221,skin tumour,DiseaseClass,MESH:D012878
10192393,1262,1268,tumour,Modifier,MESH:D009369
10192393,1312,1326,pilomatricomas,SpecificDisease,MESH:D018296
10192393,1385,1392,tumours,DiseaseClass,MESH:D009369
10192393,1615,1622,tumours,DiseaseClass,MESH:D009369
10194428,30,45,hemochromatosis,Modifier,MESH:D016399
10194428,102,117,hemochromatosis,SpecificDisease,MESH:D006432
10194428,119,145,Hereditary hemochromatosis,SpecificDisease,MESH:D006432
10194428,147,149,HH,SpecificDisease,MESH:D006432
10194428,163,199,autosomal recessive genetic disorder,DiseaseClass,MESH:D030342
10194428,292,294,HH,SpecificDisease,MESH:D006432
10194428,399,401,HH,Modifier,MESH:D006432
10194428,516,518,HH,Modifier,MESH:D006432
10194428,779,794,hemochromatosis,SpecificDisease,MESH:D006432
10194428,892,894,HH,Modifier,MESH:D006432
10194428,1146,1148,HH,Modifier,MESH:D006432
10194428,1225,1227,HH,Modifier,MESH:D006432
10194428,1312,1327,hemochromatosis,SpecificDisease,MESH:D006432
10196379,59,73,ovarian cancer,Modifier,MESH:D010051
10196379,161,174,breast cancer,Modifier,MESH:D001943
10196379,233,247,ovarian cancer,Modifier,MESH:D010051
10196379,371,385,ovarian cancer,Modifier,MESH:D010051
10196379,428,442,ovarian cancer,Modifier,MESH:D010051
10196379,564,578,ovarian cancer,Modifier,MESH:D010051
10196379,796,820,breast or ovarian cancer,CompositeMention,MESH:D001943|MESH:D010051
10196379,969,975,cancer,DiseaseClass,MESH:D009369
10196379,1063,1069,cancer,Modifier,MESH:D009369
10196379,1257,1271,ovarian cancer,SpecificDisease,MESH:D010051
10196379,1321,1335,ovarian cancer,Modifier,MESH:D010051
10196379,1459,1473,ovarian cancer,Modifier,MESH:D010051
10021369,43,76,adenomatous polyposis coli tumour,Modifier,MESH:D011125
